feature,importance
svd_1,0.0655338436838229
svd_0,0.06421143290338284
svd_2,0.04532831911992855
svd_8,0.04052971101490907
svd_3,0.03298504153877823
svd_4,0.028052623004248833
svd_6,0.024571700327566635
svd_5,0.02410013715732831
svd_7,0.018999548981908674
char_count,0.018497864002835315
svd_11,0.018025935136058168
token_count,0.016062532176714068
svd_9,0.01360095286099639
svd_10,0.010643964779675727
svd_13,0.009089068819499042
svd_15,0.008153791630929786
svd_14,0.0074631919475638495
svd_17,0.007380818472814266
svd_20,0.007318528347016676
svd_19,0.007150412738605807
avg_token_len,0.006716522302906416
svd_23,0.006097187513868783
svd_22,0.005981522915652568
svd_12,0.005682011947044707
svd_18,0.0052035394705982905
svd_25,0.0047239204199738686
svd_16,0.004562204575175703
svd_21,0.00445747756441892
svd_27,0.003627707567672504
english_quota,0.0034267910497291433
