feature,coefficient
school,3.673286177978253
muslim,3.4880106730280906
nigger,2.79432446754971
rape,2.494208851586677
christian,2.349924983774162
idiot,2.2837176498965404
gay,2.252723043980661
female,2.1806417888155907
bully,2.0726529983303124
christian woman,2.006248560104932
bullied,1.9582430142559233
joke,1.8289252868778787
past,1.7899368713645718
negro,1.7277684752140265
high,1.7068395776141922
colored,1.6406538265492252
ur,1.6324574023748282
racism,1.5889719261935416
dumb,1.4773259591081525
mkr,1.447616426928712
islam,1.4299624885675337
girl,1.410414866974053
school bully,1.3768533687816706
black,1.3556679057255447
sexist,1.30971728499127
terrorism,1.3038531362261698
terrorist,1.2646677245307452
islamic,1.2594949196080254
anything,1.1793678801027263
high school,1.1355870399817858
