feature,importance
svd_1,0.08938297845401427
svd_0,0.08203185156078013
svd_2,0.061825597326195296
svd_8,0.045041331584936506
svd_5,0.042470485847496284
svd_3,0.042052307836342354
svd_4,0.03881433580999382
svd_6,0.03402143058555025
svd_7,0.023922735272771323
svd_11,0.022880356057269218
svd_9,0.01959604434724104
char_count,0.017630080458237163
token_count,0.016868484849228146
svd_13,0.012179452462324342
svd_10,0.011734631876344225
svd_12,0.010425207194023565
svd_14,0.008681962160003678
svd_17,0.008620909730305442
svd_15,0.008562931832257573
avg_token_len,0.007926598588276252
svd_22,0.0066624657127297236
svd_20,0.006475333345944296
svd_23,0.006432654420333461
svd_19,0.006093477396173697
svd_16,0.005864831231230476
svd_25,0.004482844928856422
svd_18,0.004456926588915305
svd_21,0.004299191658779009
svd_26,0.00358778401194723
svd_24,0.003507739064425431
