feature,coefficient
school,80.35134643342546
muslim,60.656457572763806
bully,54.89309563575503
nigger,52.69957342482886
idiot,48.18762342696161
rape,45.547877507411236
high,44.91834545500321
joke,43.94142250926827
gay,43.48445381569828
high school,42.1852275125005
christian,40.158927304126415
bullied,39.4252698518365
dumb,37.81924893287078
girl,35.43016974754949
black,33.881569852771996
female,33.26074770907221
fuck,31.76161404821568
school bully,30.00453407172299
mkr,29.18368870499988
christian woman,29.060332835444637
racism,28.734177703784756
ur,26.69897861356954
past,26.20943284942793
bitch,24.108602612486237
colored,23.653762902508674
terrorism,23.013440905555356
anything,22.420876327713042
islamic,22.083782652887248
white,22.035646236543684
rape joke,21.77856297630251
